Source,Target,Count
Chandler,Monica,380
Chandler,Joey,374
Chandler,Ross,293
Chandler,Rachel,132
Chandler,Phoebe,128
Monica,Ross,267
Monica,Chandler,454
Monica,Rachel,294
Monica,Joey,291
Monica,Phoebe,341
Ross,Chandler,251
Ross,Rachel,398
Ross,Joey,285
Ross,Monica,197
Ross,Phoebe,161
Rachel,Monica,326
Rachel,Joey,403
Rachel,Ross,665
Rachel,Phoebe,286
Rachel,Chandler,200
Joey,Chandler,403
Joey,Rachel,198
Joey,Ross,426
Joey,Monica,200
Joey,Phoebe,141
Phoebe,Monica,289
Phoebe,Joey,211
Phoebe,Ross,251
Phoebe,Rachel,247
Phoebe,Chandler,210
